Date,Open,High,Low,Close,Adj Close,Volume
2015-06-24,57.167313,57.167313,57.104244,57.104244,51.345585,3700
2015-06-25,56.671772,56.671772,55.770790,55.770790,50.146599,4100
2015-06-26,55.770790,55.770790,55.770790,55.770790,50.146599,100
2015-06-29,54.887829,54.887829,54.779709,54.779709,49.255466,300
2015-06-30,55.257229,55.320297,54.356247,54.869808,49.336479,2015000
2015-07-01,54.725651,56.221283,54.626541,56.221283,50.551659,213500
2015-07-02,56.761871,58.563835,56.221283,58.554825,52.649887,1936800
2015-07-06,58.671951,59.825211,56.752861,57.437607,51.645325,2322200
2015-07-07,57.581764,57.653843,55.446438,56.284351,50.608372,3388600
2015-07-08,56.311378,57.572754,53.608433,53.797638,48.372425,4200200
2015-07-09,53.608433,54.896839,52.716461,53.617443,48.210407,2535200
2015-07-10,54.031895,55.500496,53.518333,55.320297,49.741535,2482800
2015-07-13,55.896927,56.086132,55.509506,55.969006,50.324825,1386300
2015-07-14,55.950985,56.806919,55.356339,56.032074,50.381531,1104100
2015-07-15,56.086132,56.698803,55.077034,55.518517,49.919769,1342900
2015-07-16,55.590595,57.374538,55.442833,56.149204,50.486851,1516000
2015-07-17,56.419498,56.987118,55.536533,55.635643,50.025082,1346500
2015-07-20,55.860889,56.698803,55.410397,55.455448,49.863052,2194300
2015-07-21,55.716732,56.635735,53.716553,53.923779,48.485847,1998900
2015-07-22,54.374268,55.086044,53.671501,54.185062,48.720776,999000
2015-07-23,53.851700,54.761692,53.473286,53.923779,48.485847,1248300
2015-07-24,53.653481,54.013874,51.950626,53.076855,47.724335,1281500
2015-07-27,52.662403,53.536354,52.135326,52.428146,47.141045,1393100
2015-07-28,52.725471,53.833679,51.797459,53.464275,48.072681,1816600
2015-07-29,53.049824,53.815659,52.329041,53.509327,48.113194,1986900
2015-07-30,55.284260,56.933056,54.995945,56.608704,50.900017,3918100
2015-07-31,55.410397,57.437607,55.104065,56.815929,51.086338,1803500
2015-08-03,57.095234,58.329578,56.212273,56.915039,51.175457,2361900
2015-08-04,56.086132,57.167313,56.077126,56.374447,50.689388,780300
2015-08-05,57.023155,57.626812,56.059105,56.536625,50.835209,1664200
2015-08-06,55.860889,56.311378,54.491394,55.626633,50.016987,2815600
2015-08-07,55.572575,56.410488,54.941887,56.365437,50.681278,2287400
2015-08-10,56.752861,57.212360,55.770790,56.743851,51.363255,1580600
2015-08-11,57.662853,57.662853,55.599602,57.122265,51.705788,1916000
2015-08-12,57.122265,57.545723,55.599602,57.041176,51.632381,1541800
2015-08-13,56.996124,57.480854,56.176231,56.878998,51.485592,937100
2015-08-14,56.878998,57.491665,55.823948,56.969097,51.567139,1041900
2015-08-17,56.428509,57.131271,56.428509,57.068203,51.656849,792700
2015-08-18,56.779892,57.284439,56.680782,56.906029,51.510056,894800
2015-08-19,56.743851,57.023155,55.923958,55.923958,50.621105,1195300
2015-08-20,55.635643,55.635643,54.401299,54.671593,49.487495,1439900
2015-08-21,54.257141,54.297684,52.824577,53.166950,48.125526,2173600
2015-08-24,51.049644,54.320210,48.184521,50.869446,46.045879,2381800
2015-08-25,52.527256,52.590324,49.563023,50.004505,45.262951,2606800
2015-08-26,51.473106,52.202900,49.689159,50.860439,46.037727,2065000
2015-08-27,52.473194,53.383186,52.022705,53.356159,48.296787,2080600
2015-08-28,53.446255,54.437336,53.356159,54.293179,49.144962,1674500
2015-08-31,54.140011,54.266151,52.833588,53.473286,48.402813,1866100
2015-09-01,52.707451,53.266060,51.950626,52.644382,47.652512,2055000
2015-09-02,53.085865,53.554375,51.761421,52.410126,47.440464,1373800
2015-09-03,52.572304,53.734570,52.419136,52.905666,47.889019,1227100
2015-09-04,51.590233,52.554283,51.581223,51.671322,46.771717,911300
2015-09-08,52.383099,52.869629,51.977657,52.797550,47.791149,694200
2015-09-09,53.157944,54.112984,52.374088,52.482204,47.505703,1193800
2015-09-10,52.374088,53.527344,52.283989,52.923687,47.905331,1845800
2015-09-11,52.707451,53.860706,52.274979,52.932697,47.913486,1146300
2015-09-14,52.932697,53.716553,51.851517,53.680511,48.590385,1648500
2015-09-15,56.752861,56.752861,52.860619,53.770611,48.671944,1578100
2015-09-16,53.365170,53.365170,51.364986,52.968735,47.946098,2181000
2015-09-17,52.869629,53.320118,51.698353,52.013695,47.081627,1363600
2015-09-18,51.328949,51.653301,50.094604,50.184700,45.426060,2420000
2015-09-21,51.968647,51.968647,49.995495,50.328857,45.556549,1830600
2015-09-22,51.346970,51.346970,48.157490,48.598972,43.990692,2210800
2015-09-23,48.499866,49.572033,47.373638,47.562843,43.052811,2043700
2015-09-24,45.959095,47.256508,45.499596,47.130371,42.661354,2749900
2015-09-25,47.364628,47.553833,46.553745,46.806019,42.367744,1630700
2015-09-28,46.274441,46.778988,44.959003,45.022076,40.752964,1958800
2015-09-29,44.490494,46.193352,43.967926,45.562664,41.242298,1969600
2015-09-30,49.337780,49.337780,45.607712,46.346519,41.951824,1757000
2015-10-01,49.752232,50.500046,46.031174,46.851067,42.408527,2441600
2015-10-02,45.040092,47.797100,45.040092,47.761059,43.232235,2139800
2015-10-05,48.112442,48.995403,47.851158,48.743130,44.121181,1714500
2015-10-06,48.977386,49.599064,48.626003,48.932335,44.292446,2398300
2015-10-07,46.436615,49.400848,46.436615,48.707092,44.088562,2720800
2015-10-08,48.580952,49.229660,48.256599,48.824219,44.194584,2009400
2015-10-09,49.563023,52.004684,49.563023,51.869537,46.951138,3857500
2015-10-12,51.833500,51.887558,49.986485,50.752319,45.939850,1439900
2015-10-13,50.148663,51.175781,49.959457,50.040543,45.295567,1963400
2015-10-14,50.076584,50.626183,49.806290,50.238762,45.474991,1132500
2015-10-15,50.067574,50.572124,49.508965,50.464005,45.678883,973200
2015-10-16,52.121811,52.121811,49.337780,50.265789,45.499466,1550500
2015-10-19,49.725201,50.210831,48.348499,48.896297,44.259830,1598500
2015-10-20,48.508873,49.049465,46.274441,48.436794,43.843891,1200500
2015-10-21,48.833229,48.833229,46.625824,47.364628,42.873394,1723700
2015-10-22,47.905216,48.436794,46.787998,47.301559,42.816299,2085800
2015-10-23,47.472744,48.391747,47.427696,48.085415,43.525826,1667300
2015-10-26,48.022343,48.071899,47.022255,47.986305,43.436123,1292000
2015-10-27,47.562843,48.031353,47.004234,47.815117,43.281162,1133900
2015-10-28,49.373817,49.481934,47.716011,49.022434,44.374008,2029700
2015-10-29,47.490765,49.400848,46.869087,48.707092,44.088562,1159800
2015-10-30,48.752140,49.157581,48.436794,48.436794,43.843891,1161000
2015-11-02,48.256599,49.238670,48.220562,48.743130,44.121181,1298300
2015-11-03,45.968105,48.490856,45.968105,47.950264,43.403500,1540800
2015-11-04,49.409855,49.409855,47.860168,47.977295,43.427963,1134000
2015-11-05,45.031082,47.382648,43.427338,46.292458,41.902889,4367500
2015-11-06,45.878006,48.409767,45.878006,48.346699,43.762337,1559000
2015-11-09,46.067215,48.734119,46.058205,46.760971,42.326981,1659900
2015-11-10,47.382648,47.382648,45.346428,46.247410,41.862110,1334800
2015-11-11,45.445534,46.806019,45.445534,46.454636,42.049686,889000
2015-11-12,45.409496,45.878006,44.364357,44.391388,40.182079,1494500
2015-11-13,44.076042,45.031082,43.634563,43.742680,39.594883,1822500
2015-11-16,43.787727,43.918369,42.931797,43.184071,39.089252,2630100
2015-11-17,41.706459,44.184162,41.706459,43.021893,39.283577,2552400
2015-11-18,42.922787,44.706730,42.922787,44.661682,40.780872,1966200
2015-11-19,44.409405,45.499596,44.130100,45.211281,41.282719,1706400
2015-11-20,45.373459,45.679790,44.904945,45.148212,41.225128,1094700
2015-11-23,44.247231,45.850979,44.247231,45.409496,41.463707,1325600
2015-11-24,47.409676,47.409676,45.085144,45.499596,41.545979,1910900
2015-11-25,44.986034,45.968105,44.139111,45.301380,41.364994,1027900
2015-11-27,45.157223,45.661770,45.040997,45.418507,41.471939,320800
2015-11-30,46.941166,46.941166,45.517612,45.616722,41.652927,1622500
2015-12-01,45.751869,46.598793,45.409496,45.968105,41.973782,1171800
2015-12-02,44.841877,46.463646,44.841877,45.382465,41.439030,1203500
2015-12-03,46.941166,46.941166,45.058113,45.526623,41.570667,1380900
2015-12-04,45.652763,45.751869,44.850887,45.427517,41.480167,918700
2015-12-07,44.427425,45.427517,44.058022,44.112083,40.279034,1709800
2015-12-08,44.021984,44.310299,43.229118,43.247139,39.489250,1367600
2015-12-09,43.373276,43.985943,42.796650,43.292187,39.530376,1697300
2015-12-10,42.373188,43.553474,41.895668,42.265068,38.592514,3481100
2015-12-11,41.607353,42.328136,41.093792,41.228939,37.646416,1741800
2015-12-14,41.129833,41.382107,39.553112,39.778358,36.321888,2298300
2015-12-15,40.246868,41.050545,39.237770,39.255791,35.844727,3622300
2015-12-16,39.652222,40.553204,38.516983,40.472115,36.955353,4424000
2015-12-17,40.354988,40.805477,40.021622,40.427067,36.914223,3713300
2015-12-18,40.526173,40.888367,39.679249,39.724300,36.272514,5553400
2015-12-21,39.868458,40.409046,39.661232,40.075684,36.593376,3794700
2015-12-22,40.129742,40.327957,39.035049,39.679249,36.231380,2775300
2015-12-23,40.057663,41.107307,39.706280,41.003693,37.440739,1909000
2015-12-24,41.165871,41.544285,40.805477,41.003693,37.440739,490700
2015-12-28,40.913597,41.138840,40.463104,41.111813,37.539471,1047200
2015-12-29,41.391117,41.715469,41.156860,41.328049,37.736916,978600
2015-12-30,41.183891,41.512749,41.012703,41.228939,37.646416,1166600
2015-12-31,40.949635,41.765022,40.904587,41.102802,37.531242,1079000
2016-01-04,40.373005,41.021713,39.999100,41.012703,37.448967,1827200
2016-01-05,41.057755,41.179386,40.760429,40.985676,37.424290,1739100
2016-01-06,40.273899,40.449589,39.643211,39.850437,36.387699,1529800
2016-01-07,39.030544,40.165779,38.877377,39.454006,36.025719,2213600
2016-01-08,39.228760,39.345886,37.606991,37.778179,34.495506,3284000
2016-01-11,37.904316,38.021442,35.507702,35.823048,32.710266,4134900
2016-01-12,36.057301,36.435715,34.147221,34.552662,31.550264,3926800
2016-01-13,34.165241,36.057301,34.138210,34.201279,31.229418,5187200
2016-01-14,34.363457,35.075233,33.714748,34.687809,31.673664,1965500
2016-01-15,33.831875,34.381477,33.246239,33.381386,30.480761,2701900
2016-01-19,33.732769,33.858906,32.631767,32.849808,29.995375,2639100
2016-01-20,32.327236,33.129112,31.101902,32.480404,29.658073,2975000
2016-01-21,32.642582,33.660690,32.237137,32.804756,29.954239,1828900
2016-01-22,33.561581,34.399494,33.255249,34.003063,31.048424,2079100
2016-01-25,30.696459,30.804577,28.407965,28.930534,26.416662,9308400
2016-01-26,29.191818,29.678349,28.705288,28.903505,26.391981,3183700
2016-01-27,28.588161,30.372105,28.588161,29.372015,26.819782,2291300
2016-01-28,29.552212,30.002703,28.498062,28.516083,26.038223,2737500
2016-01-29,28.705288,31.903774,28.561132,31.786648,29.024599,5725800
2016-02-01,31.345167,31.768627,30.092802,31.543383,28.802473,3979500
2016-02-02,30.759527,30.984774,30.020723,30.056763,27.445030,3362800
2016-02-03,30.588341,30.912695,29.633301,30.011713,27.403893,4158600
2016-02-04,29.849537,31.128931,29.831516,31.020813,28.325310,3664600
2016-02-05,30.822598,31.408236,30.002703,30.092802,27.477938,1556400
2016-02-08,29.912605,30.083792,28.651230,29.002613,26.482481,2294500
2016-02-09,28.534101,29.666637,28.498062,29.453104,26.893824,3197200
2016-02-10,28.498062,29.867556,28.191729,28.245789,26.124029,3432700
2016-02-11,27.768267,28.200739,26.786198,26.975403,24.949072,3316700
2016-02-12,27.371836,28.011532,27.137581,27.957474,25.857374,2520900
2016-02-16,28.380936,28.552122,27.651140,28.389946,26.257357,2611400
2016-02-17,28.777367,29.840527,28.570141,29.471123,27.257320,2227300
2016-02-18,29.597261,29.876566,28.831427,29.489143,27.273989,2207700
2016-02-19,28.534101,29.272907,27.534012,28.434994,26.299023,3909700
2016-02-22,29.705379,29.705379,28.615191,29.146770,26.957331,1655900
2016-02-23,28.984592,29.444094,28.768358,29.353996,27.148993,1605700
2016-02-24,28.840437,29.399044,28.525093,29.110731,26.924002,1846800
2016-02-25,29.335976,29.723398,28.687269,29.209839,27.015665,1593800
2016-02-26,29.317957,30.717182,29.002613,30.236958,27.965626,2345900
2016-02-29,29.317957,31.705559,29.317957,30.426165,28.140621,3126000
2016-03-01,30.795567,31.908279,30.615372,31.894766,29.498905,2145000
2016-03-02,31.714569,33.318317,31.597441,33.246239,30.748857,3201100
2016-03-03,33.093071,34.084152,33.093071,33.949005,31.398836,2714700
2016-03-04,34.156231,34.237320,32.642582,33.120102,30.632195,3555000
2016-03-07,33.011982,33.507523,32.101990,32.651588,30.198877,2330100
2016-03-08,32.291199,32.556988,31.228039,31.858727,29.465572,2660800
2016-03-09,32.120010,32.471394,31.786648,32.074963,29.665567,2658500
2016-03-10,32.111000,32.363277,31.137939,31.570412,29.198912,1904700
2016-03-11,32.011894,33.327328,31.683035,33.300297,30.798851,1726100
2016-03-14,32.705650,34.606720,32.705650,34.255337,31.682150,2748000
2016-03-15,34.174252,34.174252,32.795746,33.354355,30.848854,1418000
2016-03-16,33.381386,34.462563,32.980450,34.228310,31.657164,2243900
2016-03-17,34.012074,35.669880,34.012074,35.489685,32.823788,2891200
2016-03-18,35.588791,35.949184,34.498604,35.525723,32.857113,8906500
2016-03-21,35.381565,36.622219,35.381565,36.138390,33.423752,3071800
2016-03-22,35.750969,36.435715,35.606812,36.210468,33.490421,2411800
2016-03-23,35.913147,36.147400,35.165329,35.318497,32.665451,1393600
2016-03-24,34.804939,34.904045,34.372467,34.714840,32.107147,1686000
2016-03-28,34.831966,34.922066,34.282368,34.651772,32.048805,1239300
2016-03-29,34.318409,35.120281,33.696728,35.102261,32.465466,1523000
2016-03-30,35.129292,35.426617,33.786827,34.462563,31.873819,1675600
2016-03-31,34.381477,35.201370,34.309399,35.165329,32.523788,2544000
